cohort,replicate,assay,biogroup,cpid,TR
3,3,AR,CYP3A4,2,3035
3,3,AR,CYP3A4,3,3036
3,3,AR,CYP3A4,4,3037
3,3,AR,CYP3A4,5,3038
3,3,Viability,CYP2D6,1,3039
3,3,Viability,CYP2D6,2,3040
3,3,Viability,CYP2D6,3,3041
3,3,Viability,CYP2D6,4,3042
3,3,Viability,CYP2D6,5,3043
3,3,Viability,CYP2E1,1,3044
3,3,Viability,CYP2E1,2,3045
3,3,Viability,CYP2E1,3,3046
3,3,Viability,CYP2E1,4,3047
3,3,Viability,CYP2E1,5,3048
3,3,Viability,CYP2E1-WT,1,3049
3,3,Viability,CYP2E1-WT,2,3050
3,3,Viability,CYP2E1-WT,3,3051
3,3,Viability,CYP2E1-WT,4,3052
3,3,Viability,CYP2E1-WT,5,3053
3,3,Viability,CYP2J2,1,3054
3,3,Viability,CYP2J2,2,3055
3,3,Viability,CYP2J2,3,3056
3,3,Viability,CYP2J2,4,3057
3,3,Viability,CYP2J2,5,3058
3,3,Viability,CYP3A4,1,3059
3,3,Viability,CYP3A4,2,3060
3,3,Viability,CYP3A4,3,3061
3,3,Viability,CYP3A4,4,3062
3,3,Viability,CYP3A4,5,3063
